layer,expert,total_mass,selectivity,top_category,share_computational,share_creative,share_factual,share_reasoning,share_social_ethical,share_symbolic
1,0,1118.8555908203125,0.2834617019059719,factual,0.050877595897297144,0.0405653054088274,0.2834617019059719,0.2229797837909197,0.18837640258508248,0.2137392104119014
1,1,1419.170654296875,0.315384704046484,reasoning,0.12232314104281099,0.044462828769622445,0.21979587550015714,0.315384704046484,0.12086905331448568,0.17716439732643974
1,2,1923.9775390625,0.29009955064403625,reasoning,0.09589413867856963,0.058099865847982365,0.22803006923827743,0.29009955064403625,0.07946686120316544,0.24840951438796885
1,3,1977.2884521484375,0.5027845812805783,reasoning,0.03916953179313403,0.02261311263705209,0.09468119632691724,0.5027845812805783,0.07911700167928688,0.26163457628303144
1,4,2201.39892578125,0.3331932265194473,symbolic,0.12217373318856861,0.07379357497507466,0.1810457661310446,0.2080140358192866,0.0817796633665782,0.3331932265194473
1,5,1710.5615234375,0.2779417137898454,symbolic,0.17277276970110442,0.049893669556380825,0.24093101223727817,0.19222703048329684,0.06623380423209438,0.2779417137898454
1,6,1396.310302734375,0.30406097823032835,symbolic,0.08530171680490942,0.05320942977682358,0.2272561247582085,0.20050016724112638,0.12967158318860375,0.30406097823032835
1,7,1966.791748046875,0.33286661993533,symbolic,0.08332724055015536,0.04115973986526032,0.258308083970924,0.18572801642109543,0.09861029925723491,0.33286661993533
1,8,2053.4837036132812,0.22567112974370054,symbolic,0.1633147890204328,0.0586456947789367,0.21774865306215377,0.17090775943855177,0.16371197395622442,0.22567112974370054
1,9,1814.4576416015625,0.3039068726753035,symbolic,0.12782812636970697,0.05783327907485698,0.18129623870015932,0.24367996392904565,0.08545551925092759,0.3039068726753035
1,10,1557.0777587890625,0.3042538007480804,symbolic,0.1033042712832916,0.04088124249299189,0.20965575774243447,0.21669557819436058,0.12520934953884108,0.3042538007480804
1,11,1295.244140625,0.2832716970889598,factual,0.09959276726003333,0.04370179367125828,0.2832716970889598,0.19785055378374913,0.20232191460647048,0.173261273589529
1,12,2125.7063598632812,0.3869601249561662,symbolic,0.049687298049737774,0.05129929668082241,0.16339315403918614,0.25573645341293233,0.09292367286115516,0.3869601249561662
1,13,1854.485595703125,0.32553064630429834,symbolic,0.14477987217700747,0.04424772178626754,0.20487987516543305,0.19423449767396486,0.08632738689302871,0.32553064630429834
1,14,2166.315673828125,0.31028997448392237,symbolic,0.11224834273971741,0.04763536475842109,0.21467072471588414,0.2402066936399365,0.0749488996621185,0.31028997448392237
1,15,1864.8011474609375,0.33213656758366195,reasoning,0.0771114966427739,0.03892356935521215,0.17569892378799237,0.33213656758366195,0.09632400876355379,0.27980543386680584
1,16,1649.2152099609375,0.3668500295069617,symbolic,0.06932126438274715,0.049970648474420135,0.22383508195296783,0.22189753338379828,0.06812544229910489,0.3668500295069617
1,17,1634.3282470703125,0.259592377500641,reasoning,0.12388544515755671,0.03886897158939701,0.23110290036529338,0.259592377500641,0.182948887833416,0.16360141755369587
1,18,1675.8561401367188,0.25287786709123977,factual,0.11657032955294429,0.06761593222797044,0.25287786709123977,0.22557536491212313,0.11685855967902367,0.2205019465366987
1,19,1214.347412109375,0.2745554001464023,factual,0.06943833764880225,0.05690508199994089,0.2745554001464023,0.2161914222591344,0.13914276069784942,0.24376699724787076
1,20,1955.525634765625,0.2931149750562839,factual,0.06874768799798947,0.04035140308168722,0.2931149750562839,0.20381860645534058,0.14769577592941077,0.24627155147928803
1,21,2032.4065551757812,0.3304471261240107,symbolic,0.11584497756971249,0.04916695719135159,0.21965164726370193,0.20529308597697782,0.07959620587424546,0.3304471261240107
1,22,1468.23974609375,0.27964585436097317,factual,0.08632520273831833,0.04454938633933664,0.27964585436097317,0.25931590263239723,0.13320851160060593,0.19695514232836872
