layer,pattern_pearson_r,selectivity_pearson_r,n_specialists_base,n_specialists_lora
1,0.9058501510854009,0.828352723802045,0,0
3,0.8807453671268487,0.8588807614416869,0,0
6,0.923837764713549,0.9133844245291902,0,0
8,0.9105644353705691,0.9062700575507934,0,1
10,0.9474629025411742,0.9165508946487992,1,1
13,0.9360565390033299,0.9272051864988865,3,4
15,0.9401607481532905,0.9439736334941156,1,1
17,0.9411908751139981,0.9351232141860646,6,6
20,0.9515508531388395,0.8742485062473861,3,2
22,0.9176813852951712,0.9430135755064905,0,0
24,0.954556447445192,0.9330397975210131,2,0
27,0.9451982637994567,0.9297346591393448,2,2
29,0.9648438412982662,0.9153808262778707,1,1
31,0.9622572808248437,0.933275680457699,0,0
34,0.9696256557586455,0.9441297847312818,2,1
36,0.9519834009417091,0.9304892823177411,2,1
38,0.9156435600685402,0.9150316948046096,0,0
40,0.9266721310569199,0.8907740639938145,1,2
43,0.922946555492433,0.9143780268605773,1,2
45,0.9132406249937328,0.9089792739239777,0,1
47,0.8979722722581162,0.9055046494610215,0,0
49,0.8867768277251712,0.8968241696347825,0,1
51,0.8490502124071421,0.88822283614037,0,0
