layer,n,jaccard_top6,jaccard_top16,jsd,kl_base_lora,d_entropy,d_concentration
1,18,0.24052429052429053,0.3826192129573772,0.02542081521882613,0.10763687850481997,-0.00964938830670745,0.0007703918097165842
3,18,0.33020683020683017,0.4227986641716619,0.030838168228215328,0.13852386226004448,-0.047328490836022356,0.006698519214704105
6,18,0.5357142857142857,0.4326876479736892,0.044294000843624615,0.2532899336238026,-0.006112392609180518,-0.0029823354334370437
8,18,0.38811928811928814,0.45870365586612727,0.06979926373551118,0.461703861639146,-0.1832584602983273,0.012505464996989159
10,18,0.5148148148148148,0.48853882620473016,0.06511691542300807,0.4168548958757214,-0.10564660526860264,0.007090838901791631
13,18,0.482010582010582,0.4741713895337083,0.06247867235011876,0.4075013834620083,-0.1509342442123492,0.005239468119042138
15,18,0.45158730158730154,0.44859649207475294,0.06570699717028555,0.41230448655519353,-0.2119287834352258,0.023794241463570683
17,18,0.4388888888888889,0.5197540036594194,0.055701502514853604,0.38244505286849134,-0.10552076023796689,0.01714672390843125
20,18,0.47118807118807116,0.4765593826463392,0.05956547081966793,0.3493635133059081,-0.09779628613920062,0.005872244589931932
22,18,0.3904761904761905,0.4233565468348077,0.051372929754454164,0.2658283278228568,-0.06308830244345714,0.0050084980148376885
24,18,0.526984126984127,0.44216492042579003,0.05812403474826508,0.34553221329947986,-0.1166493944488573,0.010921567720165967
27,18,0.35185185185185186,0.4713506060569371,0.05761438504697146,0.3302411218477872,-0.06451227727181869,0.0028655486070678156
29,18,0.5410052910052909,0.5195816506571656,0.04435833872939682,0.2641340491134703,-0.09315943730599896,0.0055297417563210235
31,18,0.4619288119288119,0.45975531714662154,0.050276967638000214,0.2844312779138847,-0.07543978414677079,-0.008110641351527843
34,18,0.5243386243386243,0.4971285466767138,0.04445671303056189,0.24483378254510557,0.006610517452903222,-0.012793503765243956
36,18,0.41269841269841273,0.4461974875704853,0.051691901109929106,0.2947627376413091,-0.010382137396978007,0.0020725616513584655
38,18,0.40214045214045213,0.39130550608811476,0.06253852254707863,0.35253022687253505,-0.045505295238528545,-0.0030708204856583275
40,18,0.4047859547859548,0.4457814276578579,0.06382913860312554,0.37631023322744744,-0.09252004650930219,-0.009757675823275688
43,18,0.4478835978835979,0.46461551331116546,0.057249759420651865,0.4294738515505022,-0.1090444624163607,0.011858302339079592
45,18,0.39901394901394904,0.463645147123408,0.053026702255383806,0.3174756283304873,-0.06277320845970588,0.0006646139621562947
47,18,0.39131794131794134,0.3707201297539462,0.05089584249880511,0.27583255601264234,-0.026067572446225817,-0.0058664154767317355
49,18,0.4333573833573834,0.41905553383814254,0.058676475921089474,0.4610469388665257,-0.09881820859621368,-0.007747712679905739
51,18,0.22205387205387206,0.36559634957804293,0.05301222421605273,0.2529404822284897,-0.024944760029484512,-0.013691484412657875
