layer,expert,base_selectivity,base_category,lora_selectivity,lora_category,same_category
10,8,0.9983113248690141,factual,1.0,factual,True
13,20,0.8554278699109269,reasoning,0.8835304020439465,reasoning,True
13,21,0.9060368224119778,symbolic,0.8527043642182471,symbolic,True
13,52,0.8028720329803125,creative,0.7563900612878914,creative,True
15,118,0.8377382544403931,social_ethical,0.912929791231597,social_ethical,True
17,2,0.8424966071544499,creative,0.8902014667631883,creative,True
17,63,0.9985862976099301,creative,0.9970916770425313,creative,True
17,70,0.8487787516220026,social_ethical,0.8395475833213956,social_ethical,True
17,84,0.8220458218528706,factual,0.8368019403330453,factual,True
17,103,0.9839115201971691,social_ethical,0.9865882244350367,social_ethical,True
17,125,0.9467282567238264,creative,0.9763139328955611,creative,True
20,40,0.8093005269720895,factual,0.5535556748740973,factual,True
20,67,0.8020920279090606,reasoning,0.7344847901755485,reasoning,True
20,81,0.8786040990949763,social_ethical,0.8769254931051501,social_ethical,True
24,20,0.8386542207837172,symbolic,0.7997252131668456,symbolic,True
24,26,0.8518647890692641,reasoning,0.75956429610261,reasoning,True
27,8,0.802752168490506,factual,0.7312118925303169,factual,True
27,17,0.8691583672624617,creative,0.8220380223749075,creative,True
29,34,0.8636467256847832,factual,0.8984189922510535,factual,True
34,30,0.9726027028155829,social_ethical,0.9593461110478575,social_ethical,True
34,35,0.8480066511018349,computational,0.7741181858128119,computational,True
36,50,0.8114710919792195,creative,0.7163448125649489,creative,True
36,67,0.9626329440506274,factual,0.8914198749852523,factual,True
40,46,0.93248478188563,factual,0.9340220175077895,factual,True
43,8,0.9221236758288035,social_ethical,0.9792030937121134,social_ethical,True
