layer,pattern_pearson_r,selectivity_pearson_r,n_specialists_base,n_specialists_lora
1,0.9370322066214101,0.8464720333476312,0,0
3,0.9594333738673995,0.9290171233050061,0,0
6,0.9774121716874506,0.9703399696616043,0,0
8,0.9731625026409565,0.9500527976492454,0,0
10,0.9792505177696271,0.9502100611240545,1,1
13,0.9757896983222044,0.9547900381619532,3,2
15,0.9761616777800609,0.9559173068980307,1,1
17,0.9735739845998819,0.9487518140206236,6,5
20,0.9806676676248439,0.9111471202220993,3,2
22,0.9749445933618589,0.9725533704510068,0,0
24,0.9744398775187507,0.9484292437340448,2,1
27,0.9741251521896725,0.9509649846076955,2,1
29,0.9826117376163218,0.9548654666038543,1,1
31,0.9800978463354452,0.960253038272161,0,0
34,0.9772375630186565,0.9636009804940942,2,2
36,0.9765283980629986,0.9519029905345935,2,1
38,0.9688146288221969,0.9677219269137548,0,0
40,0.9751313545845274,0.9470476754042572,1,1
43,0.9703551279779984,0.9422637937868993,1,2
45,0.9679539796948965,0.9552215310883031,0,0
47,0.9686099080780918,0.9527316911186987,0,0
49,0.9468592764419892,0.9517482615263758,0,1
51,0.9515033070909207,0.9411624426467765,0,0
