category,layer,jaccard_top6,jsd,d_entropy,d_concentration
computational,1,0.5021825396825397,0.02140484446148863,-0.05020668799588098,0.0030303213745031823
computational,3,0.6498015873015873,0.021574214594840834,-0.049727068597509416,0.0017445449838046911
computational,6,0.6259920634920635,0.025142431969412377,-0.052729213638167814,0.0019200489011600996
computational,8,0.5648809523809524,0.03543990813641002,-0.09395209428196699,0.005080611624973517
computational,10,0.576388888888889,0.035729618133088975,-0.033239252328522706,0.0036262367212979226
computational,13,0.6259920634920635,0.03305230079337489,-0.032462201684549,-0.0026374903043360084
computational,15,0.5627164502164502,0.038447710255527796,-0.05919957014181876,0.005156168913998831
computational,17,0.6865079365079364,0.03212682776797539,-0.02829961801157675,0.0011607203946802076
computational,20,0.7619047619047619,0.03432652444916389,-0.05036658174031219,0.004513117264549614
computational,22,0.625,0.028504947347659102,-0.05995120656320119,0.005710153255409685
computational,24,0.5628968253968254,0.035950788970540395,-0.07816265116531747,0.010400869432901846
computational,27,0.6240079365079365,0.03121663707291855,-0.03974370763910131,-0.007475214795766197
computational,29,0.6438492063492064,0.028162851511994314,-0.06882815162429606,0.0012833527446882362
computational,31,0.6198412698412699,0.03068878482478832,-0.022572834564775286,-0.003440160110553456
computational,34,0.6363095238095239,0.030016056263342857,-0.05570318829719125,0.004622941488753089
computational,36,0.634920634920635,0.03380264950454957,-0.0410346895158902,-0.002633204208508929
computational,38,0.6091269841269841,0.03133529584920266,-0.06475258748918851,0.010082379383858942
computational,40,0.5347222222222222,0.03190700523107071,-0.08101256034799804,0.011889302710609393
computational,43,0.7172619047619048,0.03304719625161703,-0.09442168880166087,0.006980042390491332
computational,45,0.6359126984126985,0.032696857147226276,-0.09155886584557214,0.008820770109188818
computational,47,0.6001984126984127,0.030832603606417503,-0.06479518412889518,0.0014646526846137896
computational,49,0.5992063492063492,0.03873490702513339,-0.1341232196625907,0.006387520326244619
computational,51,0.5450396825396825,0.027992850092055255,-0.045781929907177,-0.0009070279833312584
creative,1,0.3488455988455988,0.024208271886924013,-0.002908785599789724,-0.002167688409711513
creative,3,0.4373015873015873,0.02704377808306933,0.011058192618739785,-0.001192751604456329
creative,6,0.4936507936507937,0.031979267176140976,-0.005334144343739948,0.0019642744033405266
creative,8,0.7738095238095238,0.03797413744320823,-0.0272848816742558,-0.001331698059500191
creative,10,0.7420634920634921,0.03603446554881209,0.008260912050176835,0.00017023590137607686
creative,13,0.6944444444444445,0.03263763724777453,-0.005592726636348133,0.01142901536498983
creative,15,0.7083333333333334,0.03365442473125022,0.02955987909564639,-0.0025362773991636383
creative,17,0.7559523809523809,0.031137827480677078,0.006258750325496794,-0.005344801587458644
creative,20,0.7547619047619047,0.035189436250482396,0.0016197488099507866,0.006079336992845719
creative,22,0.573051948051948,0.02843713316917013,0.009571962385614752,-0.004339148732996051
creative,24,0.7142857142857143,0.038102858704895076,0.03631399753072018,0.002034460798191945
creative,27,0.6337301587301588,0.03381731049817966,0.017424454649462667,-0.00462428627021384
creative,29,0.594047619047619,0.02867460830860916,-0.021913129285620208,0.004956392989922345
creative,31,0.6150793650793651,0.03153633343571382,0.061429874005851315,-0.009820979752908411
creative,34,0.6515873015873016,0.03570411669524252,0.03583628890826448,0.005107624471212195
creative,36,0.7380952380952381,0.03251765208265182,-0.01962153646901162,0.0073688397156881115
creative,38,0.5742063492063493,0.0391156163112163,0.03500622359484592,-0.0064624030899248066
creative,40,0.5988095238095238,0.03354874874734966,0.040062182224475586,-0.004456284705674883
creative,43,0.6607142857142857,0.035752319333114936,-0.012627389996212454,0.011328350351113207
creative,45,0.47182539682539687,0.033754453041622334,-0.008836037103459407,0.00295033097601464
creative,47,0.5464285714285714,0.03656217363240998,0.021389482121529173,-0.002774398461880406
creative,49,0.6753968253968253,0.03616779004490423,0.0056186556449501586,-0.00458382374360131
creative,51,0.44801587301587303,0.02689819074100057,0.008247048333176762,-0.0010977010784420898
factual,1,0.4347582972582973,0.013071647906150926,-0.021596445375113,0.002103501590964387
factual,3,0.608946608946609,0.013449820797422705,-0.023792696622492764,0.001180461973734964
factual,6,0.6884920634920636,0.01638541376194241,-0.02937411659689833,-0.00017862468203796682
factual,8,0.7847222222222222,0.020443206558256346,-0.070107738439333,0.004942292079714006
factual,10,0.6924603174603176,0.022506814609155656,-0.055159278488029685,0.00701639013011952
factual,13,0.7708333333333334,0.02420943294061978,-0.03999160044343305,0.005810718269473217
factual,15,0.7285714285714286,0.024906943220239217,-0.07102152701580981,0.0047367502675075375
factual,17,0.6984126984126985,0.02348542685956867,-0.045345381567660735,0.008019158213538337
factual,20,0.6984126984126985,0.0244391223952016,-0.06166184254921606,0.008733384322864779
factual,22,0.6557539682539683,0.018939423159305108,-0.0487984010815932,0.007722665674904045
factual,24,0.5892857142857143,0.026777256574068906,-0.044823969765434936,0.007587038511778443
factual,27,0.5589285714285714,0.023178954088280232,-0.053102364318030726,0.0067616382037344325
factual,29,0.7202380952380952,0.018944552556564263,-0.0255700278261084,-6.527730512030851e-05
factual,31,0.7261904761904762,0.018857740939858553,-0.023222639943479433,0.0007322369796583702
factual,34,0.6448412698412699,0.020632083020801543,-0.00687487493326024,-0.002534048323946237
factual,36,0.5986111111111111,0.02067293317878337,-0.00787478615705467,-0.004319317606425417
factual,38,0.7440476190476191,0.021675402635614516,-0.027710575085581408,0.0008822642543319532
factual,40,0.7132936507936508,0.02225146634566776,-0.04712477192097375,0.006537296663781301
factual,43,0.6626984126984127,0.021536162272514262,-0.042014853964840025,0.003614082577546307
factual,45,0.6428571428571429,0.01965304236061041,-0.03580926370409108,0.005056043675480368
factual,47,0.6597222222222222,0.021087915004976737,-0.05128804216935906,0.006473524008602711
factual,49,0.6279761904761905,0.02911013832764313,-0.04118576311829011,8.660536756212774e-05
factual,51,0.6676587301587302,0.018150645930648537,-0.02330559575857564,0.0005235614079470537
reasoning,1,0.4134920634920635,0.012397916994712104,-0.025358153588140198,0.0025155884085254626
reasoning,3,0.5595238095238095,0.013989510964910865,-0.022546652821580873,0.0003995999892645681
reasoning,6,0.57010582010582,0.016951863787484797,-0.021407192872605445,-0.00217185636714134
reasoning,8,0.5481481481481482,0.022231470593566695,-0.022414361645311805,0.00031194034577793246
reasoning,10,0.6150793650793651,0.024576984382250387,-0.03895898007005824,0.005935437239580313
reasoning,13,0.6560846560846562,0.026226929025664186,-0.019746257202872028,-0.005413524241742045
reasoning,15,0.5362433862433862,0.023915958734689723,-0.024823168683834766,0.00031543308425796
reasoning,17,0.5529100529100529,0.02266071797411938,-0.021245014542409728,0.0031394628724142407
reasoning,20,0.6044973544973545,0.02466775828940564,-0.017632771387065944,-0.0032924358750396647
reasoning,22,0.6097883597883598,0.01966548615697952,-0.020071758860880876,0.004867733330777672
reasoning,24,0.5158730158730159,0.02624770348079121,-0.01681524245713284,0.00152735923493792
reasoning,27,0.5899470899470899,0.023898586725262603,-0.010833819328814491,-0.001818013443113451
reasoning,29,0.5198412698412699,0.020965924274311203,-0.03597659171956651,0.0004479664648152679
reasoning,31,0.6944444444444444,0.021043902779174888,-0.022020012876309798,0.00133984682487446
reasoning,34,0.6169312169312169,0.022524752186118824,-0.01783506246505019,0.001788199702461476
reasoning,36,0.6148148148148148,0.02160260328030199,-0.002675404241370533,-0.0014608718103070368
reasoning,38,0.5997354497354498,0.022947940680096587,-0.017172631897179682,0.0019259010541261726
reasoning,40,0.6296296296296297,0.023392351973055638,-0.014989199501829987,0.0007047645202433091
reasoning,43,0.5277777777777778,0.022313785040691203,-0.004155658367462579,-0.0031640484526848523
reasoning,45,0.5952380952380953,0.020258075967255994,-0.02203634081764822,0.0040872177939993825
reasoning,47,0.5216931216931218,0.020797502093720742,-0.023269036540444234,-0.001669457212064742
reasoning,49,0.5651034151034151,0.023070925337576313,-0.022687367325745673,-0.004648314829382557
reasoning,51,0.4293650793650794,0.01884924262599215,-0.00819905199554332,-0.0022199977479155785
social_ethical,1,0.4526984126984127,0.014034789407814757,0.008989969193543423,-0.0014400793950807825
social_ethical,3,0.4450793650793651,0.01526874785746443,-0.0022467003313693707,0.0006997884442903363
social_ethical,6,0.4892063492063492,0.017565060666748195,-0.00403355723182243,-0.00027246823356356643
social_ethical,8,0.7952380952380953,0.023599949854087844,-0.020046945760243625,0.0067293830187902005
social_ethical,10,0.7317460317460317,0.026431166729908882,0.006586926601617312,0.0061622015870764525
social_ethical,13,0.7142857142857142,0.023589402973789877,0.02129841100632183,0.00011892280316938008
social_ethical,15,0.7365079365079364,0.026900706321382268,0.006662467099931005,0.0049171813079075975
social_ethical,17,0.6222222222222222,0.022993482587128515,0.008951151902140205,-0.002913756113467983
social_ethical,20,0.7333333333333333,0.022387134574027863,0.01775281178993448,-0.0025530521854199508
social_ethical,22,0.4984126984126984,0.020401906925790712,-0.015418214170333518,0.0014053693301465248
social_ethical,24,0.6904761904761905,0.023557585840429638,0.015653988488128306,-0.0004676115780925768
social_ethical,27,0.5936507936507937,0.02253335891148467,0.029735423003746795,-0.0010287128185499038
social_ethical,29,0.5380952380952381,0.019549825505573878,0.027117141143968303,-0.003778293686609628
social_ethical,31,0.7317460317460317,0.02034579178975082,0.0038595851209143996,-0.001032277104882635
social_ethical,34,0.6222222222222222,0.02073566732619998,0.0377956737204654,-0.0041852754150060794
social_ethical,36,0.6952380952380952,0.02124720449231812,-0.0009038912561136018,-0.0017744041768541685
social_ethical,38,0.6492063492063491,0.02380999116331645,-0.00483799348071748,0.003107490417030725
social_ethical,40,0.5492063492063491,0.021603112756467854,-0.019693960508469683,0.00041641847252712794
social_ethical,43,0.6022222222222222,0.021268341063801512,-0.016164290797176257,0.0071089089881039656
social_ethical,45,0.6555555555555556,0.020352067467498625,-0.004384391992713195,-0.0037506095923085007
social_ethical,47,0.6444444444444444,0.0195387554814213,-0.010487511080840051,0.004329978191439635
social_ethical,49,0.5777777777777777,0.020812477659777832,-0.0010227637718637438,0.007804712129954981
social_ethical,51,0.7015873015873015,0.015477956181170474,0.009051709028541547,-0.001182104270013311
symbolic,1,0.41248196248196245,0.02463112740449694,-0.06221183878776721,0.003452602110612572
symbolic,3,0.47698412698412695,0.02508399341982732,-0.05145489400246935,0.0005346481788657978
symbolic,6,0.6783309283309283,0.030168174188044666,-0.06903526010918822,0.0021222228969670614
symbolic,8,0.4724867724867725,0.03973751583024225,-0.07940950507198148,0.003864140661978545
symbolic,10,0.6415343915343915,0.042338065948279,-0.03095303799672296,-0.010553161636034487
symbolic,13,0.6058201058201058,0.043518143381496274,-0.11520115781763435,0.004026604427016117
symbolic,15,0.5116402116402116,0.04808075771191679,-0.16923553826817483,0.007364894024760528
symbolic,17,0.505026455026455,0.0398009138866342,-0.06324347083795422,0.0049718685860734545
symbolic,20,0.5674603174603174,0.04065094959215584,-0.07068203269270315,-0.001312908697195441
symbolic,22,0.5468253968253969,0.03208533795930218,-0.08351742651935708,0.009086512858047756
symbolic,24,0.6137566137566137,0.043901505350133985,-0.08337801397171066,-0.0028310343710946815
symbolic,27,0.4701298701298701,0.038446763737130546,-0.10443796897394221,0.004343087467933564
symbolic,29,0.6082251082251082,0.03435434996096176,-0.0946559207626052,0.005610888191190645
symbolic,31,0.5187830687830688,0.037125951432197636,-0.07540772808018145,-0.009305812805825002
symbolic,34,0.6010582010582011,0.03476030724394063,-0.017269649746305158,-0.011911345865144606
symbolic,36,0.5052910052910052,0.0379282093732224,-0.023044596790746958,-0.004689759521531107
symbolic,38,0.4875661375661376,0.04137713294923861,-0.0665075984093533,0.0011812756411693516
symbolic,40,0.48677248677248675,0.03797959881871763,-0.08825903023350895,0.004190518182816832
symbolic,43,0.5015873015873016,0.03857624940998934,-0.0846464459444953,0.009198839471641733
symbolic,45,0.5560846560846561,0.035285008762036635,-0.0635699671553299,-0.004734975474078442
symbolic,47,0.5447330447330447,0.03256453253317268,-0.06872768095957366,0.0013341469085460214
symbolic,49,0.5476190476190477,0.04033825013150532,-0.15249989080573612,0.02334708653733676
symbolic,51,0.39742664742664746,0.033562537796605306,-0.02775178194154441,-0.007853217898545636
