layer,n,jaccard_top6,jaccard_top16,jsd,kl_base_lora,d_entropy,d_concentration
1,18,0.41248196248196245,0.43869161998834005,0.02463112740449694,0.1993766120101621,-0.06221183878776721,0.003452602110612572
3,18,0.47698412698412695,0.5130294775146034,0.02508399341982732,0.2087351294150473,-0.05145489400246935,0.0005346481788657978
6,18,0.6783309283309283,0.6009024343389668,0.030168174188044666,0.290844704859037,-0.06903526010918822,0.0021222228969670614
8,18,0.4724867724867725,0.530888461577503,0.03973751583024225,0.34942781850699706,-0.07940950507198148,0.003864140661978545
10,18,0.6415343915343915,0.5824312648111275,0.042338065948279,0.3630005819690382,-0.03095303799672296,-0.010553161636034487
13,18,0.6058201058201058,0.572443772291217,0.043518143381496274,0.3639808502344152,-0.11520115781763435,0.004026604427016117
15,18,0.5116402116402116,0.5659863463372236,0.04808075771191679,0.39911745443458047,-0.16923553826817483,0.007364894024760528
17,18,0.505026455026455,0.5847940741914808,0.0398009138866342,0.40843459771991575,-0.06324347083795422,0.0049718685860734545
20,18,0.5674603174603174,0.5230610562418343,0.04065094959215584,0.32635721047972727,-0.07068203269270315,-0.001312908697195441
22,18,0.5468253968253969,0.5524809681941643,0.03208533795930218,0.2889574245847839,-0.08351742651935708,0.009086512858047756
24,18,0.6137566137566137,0.5611951352284282,0.043901505350133985,0.4300103842306593,-0.08337801397171066,-0.0028310343710946815
27,18,0.4701298701298701,0.60736903009977,0.038446763737130546,0.33517357405015724,-0.10443796897394221,0.004343087467933564
29,18,0.6082251082251082,0.5674625004907232,0.03435434996096176,0.2955640755118775,-0.0946559207626052,0.005610888191190645
31,18,0.5187830687830688,0.5882878914457862,0.037125951432197636,0.29684807406379965,-0.07540772808018145,-0.009305812805825002
34,18,0.6010582010582011,0.6334789042322583,0.03476030724394063,0.25382187456468763,-0.017269649746305158,-0.011911345865144606
36,18,0.5052910052910052,0.556109803127347,0.0379282093732224,0.29436934437227513,-0.023044596790746958,-0.004689759521531107
38,18,0.4875661375661376,0.5349797170087025,0.04137713294923861,0.3341762646811498,-0.0665075984093533,0.0011812756411693516
40,18,0.48677248677248675,0.5528189526663974,0.03797959881871763,0.33052498078653775,-0.08825903023350895,0.004190518182816832
43,18,0.5015873015873016,0.6146565050589818,0.03857624940998934,0.34866272473440796,-0.0846464459444953,0.009198839471641733
45,18,0.5560846560846561,0.557790874432863,0.035285008762036635,0.29648732069612527,-0.0635699671553299,-0.004734975474078442
47,18,0.5447330447330447,0.5637876300540634,0.03256453253317268,0.27554869759100975,-0.06872768095957366,0.0013341469085460214
49,18,0.5476190476190477,0.5231859475947958,0.04033825013150532,0.37447692493033397,-0.15249989080573612,0.02334708653733676
51,18,0.39742664742664746,0.4698345675004714,0.033562537796605306,0.2093977490541471,-0.02775178194154441,-0.007853217898545636
