layer,expert,base_selectivity,base_category,lora_selectivity,lora_category,same_category
10,8,0.9983113248690141,factual,1.0,factual,True
13,20,0.8554278699109269,reasoning,0.8043949887581928,reasoning,True
13,21,0.9060368224119778,symbolic,0.8671452033762536,symbolic,True
13,52,0.8028720329803125,creative,0.6320025990666385,creative,True
15,118,0.8377382544403931,social_ethical,0.8564053940873626,social_ethical,True
17,2,0.8424966071544499,creative,0.8768831167268358,creative,True
17,63,0.9985862976099301,creative,0.998754226753493,creative,True
17,70,0.8487787516220026,social_ethical,0.7520621985909354,social_ethical,True
17,84,0.8220458218528706,factual,0.7828930140995758,factual,True
17,103,0.9839115201971691,social_ethical,0.9856664553096146,social_ethical,True
17,125,0.9467282567238264,creative,0.959771980931901,creative,True
20,40,0.8093005269720895,factual,0.5716298334228127,factual,True
20,67,0.8020920279090606,reasoning,0.738339903959682,reasoning,True
20,81,0.8786040990949763,social_ethical,0.8759231292942959,social_ethical,True
24,20,0.8386542207837172,symbolic,0.8447450478483518,symbolic,True
24,26,0.8518647890692641,reasoning,0.7361193310279422,reasoning,True
27,8,0.802752168490506,factual,0.7061391832188861,factual,True
27,17,0.8691583672624617,creative,0.8257750543547066,creative,True
29,34,0.8636467256847832,factual,0.9101850649371406,factual,True
34,30,0.9726027028155829,social_ethical,0.9501831278418129,social_ethical,True
34,35,0.8480066511018349,computational,0.8129231823785552,computational,True
36,50,0.8114710919792195,creative,0.7915744044462449,creative,True
36,67,0.9626329440506274,factual,0.9233193487475941,factual,True
40,46,0.93248478188563,factual,0.9391295043484609,factual,True
43,8,0.9221236758288035,social_ethical,0.9610482864655476,social_ethical,True
