layer,pattern_pearson_r,selectivity_pearson_r,n_specialists_base,n_specialists_lora
1,0.9395118241331809,0.8630259913200744,0,0
3,0.9548406379986916,0.911075941861056,0,0
6,0.9735095862817372,0.9693765081858942,0,0
8,0.9724961518273624,0.9560740517261284,0,1
10,0.9746030915669864,0.9552917917069547,1,1
13,0.9728141183822033,0.962401291781358,3,3
15,0.9741232239984453,0.9494767085767899,1,1
17,0.9725843801930991,0.9523285126639174,6,6
20,0.9788507561224568,0.9088742398926117,3,3
22,0.9696008416973866,0.9671691389025489,0,0
24,0.9725462610819205,0.922183076892479,2,2
27,0.9710252782552206,0.9398810805921308,2,1
29,0.9812528052875414,0.9377256922026524,1,2
31,0.9781524403360244,0.9594529985389282,0,0
34,0.980034591721941,0.9318895896948631,2,2
36,0.9768904621590356,0.9579342835928321,2,1
38,0.9646564087377475,0.9595659859137982,0,1
40,0.9689133964063037,0.9349072147060449,1,1
43,0.9664019265928654,0.9489265830032451,1,1
45,0.9638607298320542,0.9507195747663456,0,0
47,0.9692242668975396,0.9610822751419343,0,0
49,0.9461712508062013,0.9406420110180632,0,1
51,0.9512686806987304,0.9378820886934044,0,0
