layer,n,jaccard_top6,jaccard_top16,jsd,kl_base_lora,d_entropy,d_concentration
1,18,0.3802068302068302,0.474344182811002,0.020436853380775194,0.15451865804216133,-0.03999346655836739,0.0013618848111749675
3,18,0.4542328042328042,0.522726447211573,0.021140303813399902,0.19089955731196354,-0.03608652183460808,0.0028305094470501904
6,18,0.7275132275132274,0.6065050723461456,0.02411271008499073,0.21167088938610853,-0.04356297132733684,2.270484299153916e-05
8,18,0.47703222703222703,0.5284263445649007,0.0352114029177319,0.25121923283261816,-0.08628959909431276,0.003392922761384469
10,18,0.7195767195767195,0.6011853757983788,0.035435676520599695,0.29435507786091064,-0.0555351358526622,-0.00795480646748478
13,18,0.6137566137566137,0.5468979871725868,0.04130139585565657,0.31489656478831657,-0.08272675113433484,-0.0018151985215675733
15,18,0.49603174603174605,0.5626619762699092,0.041081239027960015,0.3304458411834903,-0.1376517339234502,0.006869623456360797
17,18,0.5851851851851851,0.5772609682602056,0.03483759154140171,0.3154539436733994,-0.0433746205779081,0.009426311948404976
20,18,0.5410052910052909,0.5739015229480523,0.036543126344212515,0.28143335378428347,-0.07553664302087787,0.004459539050359481
22,18,0.5476190476190477,0.5506384171525285,0.027302774520760322,0.19504942721770713,-0.056044961448694836,0.007140511887474578
24,18,0.6216931216931216,0.5403770735578516,0.038055080425976155,0.3084288430951123,-0.07618766958471054,0.0013783700421921305
27,18,0.4798941798941799,0.5749917907049867,0.03476883899940121,0.27056950408706887,-0.08111878855995808,0.005983932920711171
29,18,0.6653439153439153,0.5885813200839898,0.02935020842712187,0.26182281895657333,-0.09068771086776392,0.009913023907652918
31,18,0.5859788359788359,0.5512658090842684,0.02998329321734224,0.21004679227219342,-0.05973604822723444,-0.004976844381274366
34,18,0.6150793650793651,0.6011390001608514,0.02928902493998388,0.21311315791645147,-0.015057163566038466,-0.0045514072696263685
36,18,0.5634920634920635,0.5690742006531481,0.031932602033833024,0.2391775038856531,-0.03266593782653176,-0.0030206046545609984
38,18,0.4571428571428571,0.5471718382473532,0.03660156942522136,0.24181794932587478,-0.03913649515291914,0.00016820265895322418
40,18,0.5423280423280423,0.5560690630103292,0.03559914676750615,0.28912537522469345,-0.0950233534951991,0.0021878530102108916
43,18,0.5124338624338624,0.6146031979118531,0.033973483536314596,0.2653923433352105,-0.08656422689783454,0.011432068182375332
45,18,0.5487012987012987,0.5981473226324484,0.03190067551516135,0.24728516015687074,-0.03205399230118536,-0.004395943501168501
47,18,0.5674603174603176,0.5597955509473435,0.027465094137874364,0.23729602129452662,-0.05206448347978698,0.002363780121288946
49,18,0.5621693121693121,0.551529533833119,0.03562889124759522,0.3013235785704606,-0.1446006747946089,0.017835335664820807
51,18,0.4256613756613757,0.4731022549786852,0.028117323105966693,0.17978510257007393,-0.025784568962197066,-0.0021379327676206168
