layer,expert,base_selectivity,base_category,lora_selectivity,lora_category,same_category
10,8,0.9983113248690141,factual,0.9981222945456277,factual,True
13,20,0.8554278699109269,reasoning,0.8177371812325677,reasoning,True
13,21,0.9060368224119778,symbolic,0.9276449552122261,symbolic,True
13,52,0.8028720329803125,creative,0.7784470102485384,creative,True
15,118,0.8377382544403931,social_ethical,0.9453797220025645,social_ethical,True
17,2,0.8424966071544499,creative,0.94365939017312,creative,True
17,63,0.9985862976099301,creative,0.9975994547990388,creative,True
17,70,0.8487787516220026,social_ethical,0.7242277103987598,social_ethical,True
17,84,0.8220458218528706,factual,0.7684093182469734,factual,True
17,103,0.9839115201971691,social_ethical,0.9891027449064496,social_ethical,True
17,125,0.9467282567238264,creative,0.9727655461653884,creative,True
20,40,0.8093005269720895,factual,1.0,factual,True
20,67,0.8020920279090606,reasoning,0.7433078295717965,reasoning,True
20,81,0.8786040990949763,social_ethical,0.8893057697936315,social_ethical,True
24,20,0.8386542207837172,symbolic,0.8399854927880572,symbolic,True
24,26,0.8518647890692641,reasoning,0.7027183292715042,reasoning,True
27,8,0.802752168490506,factual,0.66033005228301,factual,True
27,17,0.8691583672624617,creative,0.7950814383151045,creative,True
29,34,0.8636467256847832,factual,0.8931857704895727,factual,True
34,30,0.9726027028155829,social_ethical,0.9604369725956136,social_ethical,True
34,35,0.8480066511018349,computational,0.8252985465374691,computational,True
36,50,0.8114710919792195,creative,0.786574341539789,creative,True
36,67,0.9626329440506274,factual,0.9191512867056779,factual,True
40,46,0.93248478188563,factual,0.9323766371117232,factual,True
43,8,0.9221236758288035,social_ethical,0.951089519713886,social_ethical,True
