expert,mass,mass_share,top_category,selectivity,enrichment,lora_mass_share,delta
121,5937.9154052734375,0.026224094685432815,symbolic,0.326,1.32,0.016870791692874382,-0.00935
74,5343.8829345703125,0.02360062117752369,symbolic,0.502,1.8,0.024345822886823923,0.00075
116,4762.2252197265625,0.02103179930191589,symbolic,0.457,1.64,0.01890620311496276,-0.00213
9,4690.6199951171875,0.020715563373653878,factual,0.258,1.2,0.01588993908508869,-0.00483
111,4668.7767333984375,0.02061909521530954,symbolic,0.364,2.55,0.016755174517213017,-0.00386
64,4655.9659423828125,0.0205625178857823,factual,0.324,1.73,0.018254192416913537,-0.00231
3,4467.935791015625,0.019732105164039875,computational,0.369,3.8,0.016688050516819455,-0.00304
45,4355.1904296875,0.019234178732116258,symbolic,0.272,1.97,0.010592444965835184,-0.00864
34,4020.9945068359375,0.01775824232578724,factual,0.519,2.25,0.015133647714032321,-0.00262
32,3963.010498046875,0.01750216287147657,factual,0.289,1.98,0.014214130185141633,-0.00329
30,3876.5252075195312,0.017120210908053175,symbolic,0.557,2.37,0.030246534747356682,0.01313
35,3847.540771484375,0.01699220460565372,symbolic,0.57,2.04,0.018653341205736272,0.00166
36,3841.2890625,0.016964594679078068,computational,0.442,4.55,0.013128634623273521,-0.00384
124,3829.7508544921875,0.01691363756051953,social_ethical,0.494,4.39,0.018547772121616013,0.00163
26,3791.00048828125,0.016742501193081835,reasoning,0.351,1.51,0.015217099524979029,-0.00153
102,3592.2423095703125,0.015864709418987037,symbolic,0.548,1.96,0.016354434289043932,0.00049
38,3554.3671875,0.015697438462834293,reasoning,0.338,1.45,0.014654936156963397,-0.00104
59,3533.7528076171875,0.015606397514448896,symbolic,0.465,1.67,0.017836867345314898,0.00223
112,3435.7567138671875,0.015173609462429787,factual,0.554,2.41,0.014297584160575721,-0.00088
127,3410.0167236328125,0.015059931867678454,reasoning,0.61,2.62,0.014072205288738497,-0.00099
27,3318.1497802734375,0.014654212476833309,symbolic,0.347,1.24,0.01671754328074131,0.00206
19,3269.16748046875,0.014437887995880345,computational,0.252,2.59,0.008712816570602185,-0.00573
56,3209.3155517578125,0.014173559096174654,reasoning,0.405,4.21,0.014134487330862373,-4e-05
62,3107.054443359375,0.013721935115998661,symbolic,0.522,1.87,0.021667239992025543,0.00795
21,3091.8551025390625,0.013654809041337163,reasoning,0.326,2.66,0.03365288648075779,0.02
12,3076.2603759765625,0.013585936792735367,symbolic,0.312,1.12,0.014131734102914658,0.00055
60,3007.789306640625,0.013283542487170858,factual,0.669,2.9,0.010685066627568449,-0.0026
90,2886.4317626953125,0.012747581378599474,factual,0.294,1.4,0.010962834210836133,-0.00178
107,2866.4935302734375,0.01265952655477577,reasoning,0.426,1.83,0.01610728310920939,0.00345
53,2762.757568359375,0.012201389060074704,factual,0.376,1.63,0.010674001768080456,-0.00153
104,2715.374755859375,0.011992128523900917,reasoning,0.306,5.32,0.012536154903887839,0.00054
57,2610.0291748046875,0.011526882338376513,symbolic,0.462,1.66,0.009939702129929581,-0.00159
119,2606.2108154296875,0.011510019009925576,symbolic,0.324,1.36,0.012806341640667013,0.0013
49,2591.7889404296875,0.011446326520267404,social_ethical,0.306,2.73,0.010969461330072707,-0.00048
73,2470.98486328125,0.010912809731747061,factual,0.677,2.94,0.00961782932843577,-0.00129
6,2413.9862060546875,0.010661081965008513,reasoning,0.327,1.41,0.012318790317137025,0.00166
61,2385.841064453125,0.010536782306303573,symbolic,0.484,1.73,0.013288729579551344,0.00275
77,2332.2440185546875,0.010300077350006645,social_ethical,0.26,2.32,0.0072494061116728115,-0.00305
83,2330.40966796875,0.010291976159577224,symbolic,0.333,1.41,0.009244093244823061,-0.00105
15,2280.2960205078125,0.010070655216729014,factual,0.511,2.22,0.011639496255659368,0.00157
14,2175.7987060546875,0.009609155299408114,symbolic,0.386,1.38,0.021147301984946264,0.01154
86,2118.3623046875,0.009355494287918124,symbolic,0.452,1.62,0.00934666126719056,-1e-05
31,2092.2763671875,0.00924028885835765,symbolic,0.336,1.2,0.008946704042331291,-0.00029
8,2065.189453125,0.009120662735277429,reasoning,0.511,2.2,0.007397221119359535,-0.00172
52,2034.1590576171875,0.008983620697056303,factual,0.242,2.31,0.005514485602492144,-0.00347
110,2001.9822998046875,0.008841515886537133,social_ethical,0.349,3.11,0.014220717802483516,0.00538
118,1976.987060546875,0.008731127395586286,symbolic,0.406,1.54,0.006711418444329376,-0.00202
80,1972.5874633789062,0.008711697099794581,symbolic,0.338,2.3,0.011444423994998985,0.00273
109,1957.319091796875,0.008644266159012912,symbolic,0.768,2.75,0.007259014271153876,-0.00139
115,1956.360595703125,0.008640033075413271,symbolic,0.472,1.69,0.004821210575903412,-0.00382
58,1951.729736328125,0.008619581437685816,reasoning,0.43,1.85,0.009351650410602106,0.00073
98,1926.701171875,0.0085090457699873,factual,0.289,1.74,0.009813667547067851,0.0013
50,1915.8360595703125,0.008461061298266308,social_ethical,0.551,4.9,0.00966392966290467,0.0012
44,1890.984619140625,0.0083513078776772,symbolic,0.41,1.47,0.009805070473754299,0.00145
97,1890.703857421875,0.008350067927055808,reasoning,0.498,2.14,0.006131935389418586,-0.00222
87,1873.6534423828125,0.008274766804036573,reasoning,0.278,1.83,0.006660158513067732,-0.00161
33,1846.892822265625,0.008156581719221996,symbolic,0.819,2.93,0.007696753705479628,-0.00046
117,1839.12548828125,0.00812227821572669,symbolic,0.356,1.27,0.007640584175717663,-0.00048
106,1734.49560546875,0.007660192826068905,symbolic,0.311,2.14,0.012949773020286824,0.00529
75,1727.6068115234375,0.007629769289800626,reasoning,0.383,1.69,0.010630563211967455,0.003
66,1717.96142578125,0.007587171594866136,factual,0.325,1.81,0.006744993972572284,-0.00084
84,1666.00439453125,0.007357709567525035,factual,0.698,3.03,0.0073727699876681985,2e-05
81,1628.93896484375,0.007194014521142594,factual,0.335,2.51,0.007491347099822096,0.0003
108,1596.092529296875,0.00704895215883692,factual,0.269,1.51,0.006744184454292059,-0.0003
17,1593.34130859375,0.007036801720965205,symbolic,0.247,1.85,0.005746876331197787,-0.00129
101,1529.905029296875,0.0067566429646960585,reasoning,0.238,4.41,0.01070803562652614,0.00395
11,1491.5155029296875,0.006587100203361337,reasoning,0.249,1.68,0.006738195858832669,0.00015
122,1442.028076171875,0.006368544889507798,reasoning,0.386,1.66,0.005318892241494957,-0.00105
105,1349.795654296875,0.005961211406418979,symbolic,0.367,2.99,0.0059343047046747106,-3e-05
72,1314.010986328125,0.0058031726913059505,symbolic,0.315,1.29,0.0021889147026104795,-0.00361
68,1243.334716796875,0.005491039382273852,factual,0.279,1.64,0.004931275841434357,-0.00056
51,1223.82177734375,0.005404862814087074,social_ethical,0.298,2.65,0.005405767730355424,0.0
67,1119.227783203125,0.00494293592246524,reasoning,0.565,2.43,0.003440552257375071,-0.0015
0,1051.742919921875,0.004644897078235614,social_ethical,0.308,2.74,0.004632184810739841,-1e-05
24,1044.752197265625,0.004614023385980873,factual,0.318,3.68,0.00523057899189214,0.00062
76,1042.11181640625,0.004602362459050126,reasoning,0.462,1.99,0.003971972870006736,-0.00063
65,954.19287109375,0.004214078930377622,reasoning,0.44,1.89,0.004246726675158303,3e-05
